card,format,decks_present_in,total_copies,bucket,suggested_registry,oracle_summary
Soul-Guide Lantern,standard,15,31,REGISTERED,ETB,
Quantum Riddler,standard,8,23,REGISTERED,ETB,
Ghost Vacuum,standard,8,14,REGISTERED,ETB,
Spell Pierce,standard,8,14,REGISTERED,SPELL,
Burst Lightning,standard,7,25,REGISTERED,SPELL,
Stock Up,standard,7,22,REGISTERED,SPELL,
Get Lost,standard,7,21,REGISTERED,SPELL+FAMILY,
Annul,standard,7,13,REGISTERED,SPELL,
Disdainful Stroke,standard,7,13,REGISTERED,SPELL+FAMILY,
Fire Magic,standard,7,10,REGISTERED,SPELL,
Llanowar Elves,standard,6,24,REGISTERED,ETB,
Sear,standard,6,13,REGISTERED,SPELL,
Abrade,standard,6,9,REGISTERED,SPELL,
Badgermole Cub,standard,5,20,REGISTERED,ETB,
Stormchaser's Talent,standard,5,19,REGISTERED,ETB,
Tishana's Tidebinder,standard,5,16,REGISTERED,ETB,
Winternight Stories,standard,5,16,REGISTERED,SPELL,
Into the Flood Maw,standard,5,14,REGISTERED,SPELL,
Get Out,standard,5,9,REGISTERED,SPELL,
Negate,standard,5,8,REGISTERED,SPELL+FAMILY,
Pyroclasm,standard,5,8,REGISTERED,SPELL,
Requiting Hex,standard,4,17,REGISTERED,SPELL,
Deceit,standard,4,16,REGISTERED,ETB,
Boomerang Basics,standard,4,15,REGISTERED,SPELL,
Duress,standard,4,9,REGISTERED,SPELL,
Bounce Off,standard,4,8,REGISTERED,SPELL,
"Surrak, Elusive Hunter",standard,4,8,REGISTERED,ETB,
Exorcise,standard,4,7,REGISTERED,SPELL,
Broadside Barrage,standard,4,5,REGISTERED,SPELL,
Eddymurk Crab,standard,3,12,REGISTERED,ETB,
Floodpits Drowner,standard,3,12,REGISTERED,ETB,
Opt,standard,3,12,REGISTERED,SPELL,
Sleight of Hand,standard,3,12,REGISTERED,SPELL,
Slickshot Show-Off,standard,3,12,REGISTERED,ETB,
Esper Origins,standard,3,11,REGISTERED,SPELL,
Ouroboroid,standard,3,11,REGISTERED,ETB,
Abandon Attachments,standard,3,10,REGISTERED,SPELL,
No More Lies,standard,3,10,REGISTERED,SPELL,
Sunderflock,standard,3,10,REGISTERED,ETB,
Wistfulness,standard,3,10,REGISTERED,ETB,
Deadly Cover-Up,standard,3,9,REGISTERED,SPELL,
Keen-Eyed Curator,standard,3,8,REGISTERED,ETB,
Seam Rip,standard,3,8,REGISTERED,ETB,
Torch the Tower,standard,3,8,REGISTERED,SPELL+FAMILY,
Pawpatch Formation,standard,3,7,REGISTERED,SPELL,
"Ral, Crackling Wit",standard,3,7,REGISTERED,ETB,
Unable to Scream,standard,3,7,REGISTERED,SPELL,
Heritage Reclamation,standard,3,6,REGISTERED,SPELL,
Intimidation Tactics,standard,3,6,REGISTERED,SPELL,
Three Steps Ahead,standard,3,6,REGISTERED,SPELL+FAMILY,
Archdruid's Charm,standard,3,5,REGISTERED,SPELL,
Flashfreeze,standard,3,5,REGISTERED,SPELL,
"Wan Shi Tong, Librarian",standard,3,4,REGISTERED,ETB,
Accumulate Wisdom,standard,2,8,REGISTERED,SPELL,
Agatha's Soul Cauldron,standard,2,8,REGISTERED,ETB,
Combustion Technique,standard,2,8,REGISTERED,SPELL,
Consult the Star Charts,standard,2,8,REGISTERED,SPELL,
Cosmogrand Zenith,standard,2,8,REGISTERED,ETB,
Earthbender Ascension,standard,2,8,REGISTERED,ETB,
Fear of Missing Out,standard,2,8,REGISTERED,ETB,
Firebending Lesson,standard,2,8,REGISTERED,SPELL,
Gene Pollinator,standard,2,8,REGISTERED,ETB,
Gran-Gran,standard,2,8,REGISTERED,ETB,
Icetill Explorer,standard,2,8,REGISTERED,ETB,
Magebane Lizard,standard,2,8,REGISTERED,ETB,
Marauding Mako,standard,2,8,REGISTERED,ETB,
Meltstrider's Resolve,standard,2,8,REGISTERED,ETB,
Mightform Harmonizer,standard,2,8,REGISTERED,ETB,
Mossborn Hydra,standard,2,8,REGISTERED,ETB,
Nature's Rhythm,standard,2,8,REGISTERED,SPELL,
Overlord of the Hauntwoods,standard,2,8,REGISTERED,ETB,
Proft's Eidetic Memory,standard,2,8,REGISTERED,ETB,
Sazh's Chocobo,standard,2,8,REGISTERED,ETB,
Spider Manifestation,standard,2,8,REGISTERED,ETB,
Vibrance,standard,2,8,REGISTERED,ETB,
Vivi Ornitier,standard,2,8,REGISTERED,ETB,
"Kaito, Bane of Nightmares",standard,2,7,REGISTERED,ETB,
Lightning Helix,standard,2,7,REGISTERED,SPELL,
Spider-Sense,standard,2,7,REGISTERED,SPELL,
Spyglass Siren,standard,2,7,REGISTERED,ETB,
Steamcore Scholar,standard,2,7,REGISTERED,ETB,
Enduring Curiosity,standard,2,6,REGISTERED,ETB,
Hearth Elemental,standard,2,6,REGISTERED,ETB,
Nurturing Pixie,standard,2,6,REGISTERED,ETB,
Superior Spider-Man,standard,2,6,REGISTERED,ETB,
Tragic Trajectory,standard,2,6,REGISTERED,SPELL,
Voice of Victory,standard,2,6,REGISTERED,ETB,
